ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000004.SZ,20260320,66438,3548.55,50844,2739.76,59173,3160.55,53315,2849.14,33609,1787.03,29666,1564.96,7993,420.43,33388,1762.71,26125,1354.29
000004.SZ,20260319,34936,1897.01,43344,2291.32,44405,2392.6,45107,2382.11,40047,2098.43,45702,2423.7,26566,1333.61,11800,624.5,47426,2292.15
000004.SZ,20260318,2670,140.98,504,26.61,1607,84.85,1983,104.7,805,42.5,2595,137.02,0,0.0,0,0.0,5082,268.33
000004.SZ,20260317,3333,185.31,200,11.12,1799,100.02,0,0.0,1770,98.41,856,47.59,0,0.0,5846,325.04,6902,383.75
000004.SZ,20260316,40310,2430.25,28733,1756.39,40663,2463.0,42034,2561.11,21884,1346.38,27396,1656.95,14173,882.26,18867,1147.45,-15620,-986.14
000004.SZ,20260313,70791,4233.08,57412,3457.52,81090,4858.0,70316,4222.36,53515,3212.99,73691,4396.7,30425,1837.99,34402,2065.47,-4838,-213.71
000004.SZ,20260312,68,3.99,2151,126.26,309,18.14,2673,156.91,919,53.95,2490,146.16,6018,353.26,0,0.0,-7314,-429.33
000004.SZ,20260311,1212,67.75,3361,187.88,2515,140.59,3235,180.84,4647,259.77,1778,99.39,0,0.0,0,0.0,-8368,-467.77
000004.SZ,20260310,14708,772.5,28038,1474.58,23639,1241.2,31812,1673.79,27691,1457.89,16741,884.46,10552,561.25,0,0.0,15650,819.4
000004.SZ,20260309,23539,1194.59,17368,882.11,29443,1494.08,25461,1292.91,26450,1342.72,20567,1043.34,2111,107.03,18147,920.05,34277,1738.89
000004.SZ,20260306,41488,2220.51,23361,1250.48,40448,2164.89,38843,2077.97,24281,1298.07,42116,2253.46,14222,759.47,16119,861.04,10290,548.51
000004.SZ,20260305,63286,3580.29,51804,2935.2,67899,3839.9,78240,4419.3,48031,2707.93,60713,3422.2,33726,1895.4,22185,1246.82,60625,3412.54
000004.SZ,20260304,1908,112.95,171,10.12,1102,65.24,688,40.73,0,0.0,0,0.0,0,0.0,2151,127.34,3010,178.19
000004.SZ,20260303,3444,214.56,237,14.77,2722,169.58,911,56.76,1162,72.39,3350,208.71,0,0.0,2830,176.31,7328,456.53
000004.SZ,20260302,15504,1019.33,3567,235.42,13396,881.68,5849,385.54,7271,479.23,9599,632.35,1890,123.98,19046,1250.91,4129,271.44
000004.SZ,20260227,43230,2977.55,32878,2265.4,46590,3208.05,47791,3286.1,23787,1629.53,39602,2711.72,29206,1991.55,22542,1543.46,45743,3119.46
000004.SZ,20260226,46303,3346.12,23149,1674.73,39751,2875.65,39970,2889.59,27943,2015.12,35693,2579.0,7414,534.44,22600,1628.03,-22169,-1603.83
000004.SZ,20260225,59551,4511.59,33231,2522.03,68375,5181.98,50800,3851.49,41115,3112.97,71624,5423.93,32143,2423.94,45529,3433.03,86432,6519.52
000004.SZ,20260224,6405,508.56,73,5.8,8925,708.65,1998,158.64,3913,310.69,11137,884.28,2000,158.8,8035,637.98,21243,1686.69
